Date,Average Temperature(℃),Month,Month Name,Year,Season,Season_Index
01/01/1924,-2.5,1,Jan,1924,Winter,4
01/02/1924,-1.8,2,Feb,1924,Winter,4
01/03/1924,1.1,3,Mar,1924,Spring,1
01/04/1924,11.1,4,Apr,1924,Spring,1
01/05/1924,16,5,May,1924,Spring,1
01/06/1924,21.2,6,Jun,1924,Summer,2
01/07/1924,25.6,7,Jul,1924,Summer,2
01/08/1924,27,8,Aug,1924,Summer,2
01/09/1924,20.3,9,Sep,1924,Autumn,3
01/10/1924,12.6,10,Oct,1924,Autumn,3
01/11/1924,3.3,11,Nov,1924,Autumn,3
01/12/1924,-1.6,12,Dec,1924,Winter,4
01/01/1925,-4.1,1,Jan,1925,Winter,4
01/02/1925,-2.9,2,Feb,1925,Winter,4
01/03/1925,1.5,3,Mar,1925,Spring,1
01/04/1925,9.8,4,Apr,1925,Spring,1
01/05/1925,16.1,5,May,1925,Spring,1
01/06/1925,20.6,6,Jun,1925,Summer,2
01/07/1925,23.3,7,Jul,1925,Summer,2
01/08/1925,25.2,8,Aug,1925,Summer,2
01/09/1925,19.8,9,Sep,1925,Autumn,3
01/10/1925,13.3,10,Oct,1925,Autumn,3
01/11/1925,7.4,11,Nov,1925,Autumn,3
01/12/1925,-1.4,12,Dec,1925,Winter,4
01/01/1926,-4.8,1,Jan,1926,Winter,4
01/02/1926,-2.5,2,Feb,1926,Winter,4
01/03/1926,3.1,3,Mar,1926,Spring,1
01/04/1926,9.1,4,Apr,1926,Spring,1
01/05/1926,16.7,5,May,1926,Spring,1
01/06/1926,20.7,6,Jun,1926,Summer,2
01/07/1926,24.1,7,Jul,1926,Summer,2
01/08/1926,25.4,8,Aug,1926,Summer,2
01/09/1926,20.3,9,Sep,1926,Autumn,3
01/10/1926,11.5,10,Oct,1926,Autumn,3
01/11/1926,6.3,11,Nov,1926,Autumn,3
01/12/1926,-4,12,Dec,1926,Winter,4
01/01/1927,-4.1,1,Jan,1927,Winter,4
01/02/1927,-2.9,2,Feb,1927,Winter,4
01/03/1927,3.4,3,Mar,1927,Spring,1
01/04/1927,11.7,4,Apr,1927,Spring,1
01/05/1927,13.8,5,May,1927,Spring,1
01/06/1927,21.2,6,Jun,1927,Summer,2
01/07/1927,25.7,7,Jul,1927,Summer,2
01/08/1927,25,8,Aug,1927,Summer,2
01/09/1927,19.6,9,Sep,1927,Autumn,3
01/10/1927,12.8,10,Oct,1927,Autumn,3
01/11/1927,7.7,11,Nov,1927,Autumn,3
01/12/1927,-2,12,Dec,1927,Winter,4
01/01/1928,-5.2,1,Jan,1928,Winter,4
01/02/1928,-2.3,2,Feb,1928,Winter,4
01/03/1928,4.1,3,Mar,1928,Spring,1
01/04/1928,12.1,4,Apr,1928,Spring,1
01/05/1928,16.5,5,May,1928,Spring,1
01/06/1928,21.5,6,Jun,1928,Summer,2
01/07/1928,25,7,Jul,1928,Summer,2
01/08/1928,25.7,8,Aug,1928,Summer,2
01/09/1928,20.3,9,Sep,1928,Autumn,3
01/10/1928,12.3,10,Oct,1928,Autumn,3
01/11/1928,5.2,11,Nov,1928,Autumn,3
01/12/1928,-1.9,12,Dec,1928,Winter,4
01/01/1929,-4.8,1,Jan,1929,Winter,4
01/02/1929,-2.8,2,Feb,1929,Winter,4
01/03/1929,4.4,3,Mar,1929,Spring,1
01/04/1929,10.4,4,Apr,1929,Spring,1
01/05/1929,16.7,5,May,1929,Spring,1
01/06/1929,22.9,6,Jun,1929,Summer,2
01/07/1929,25.9,7,Jul,1929,Summer,2
01/08/1929,26.2,8,Aug,1929,Summer,2
01/09/1929,18.8,9,Sep,1929,Autumn,3
01/10/1929,12.8,10,Oct,1929,Autumn,3
01/11/1929,4.9,11,Nov,1929,Autumn,3
01/12/1929,1.5,12,Dec,1929,Winter,4
01/01/1930,-4.5,1,Jan,1930,Winter,4
01/02/1930,0.9,2,Feb,1930,Winter,4
01/03/1930,6.3,3,Mar,1930,Spring,1
01/04/1930,12.5,4,Apr,1930,Spring,1
01/05/1930,16.7,5,May,1930,Spring,1
01/06/1930,21.4,6,Jun,1930,Summer,2
01/07/1930,25.5,7,Jul,1930,Summer,2
01/08/1930,26.4,8,Aug,1930,Summer,2
01/09/1930,19.5,9,Sep,1930,Autumn,3
01/10/1930,14,10,Oct,1930,Autumn,3
01/11/1930,3.1,11,Nov,1930,Autumn,3
01/12/1930,-0.8,12,Dec,1930,Winter,4
01/01/1931,-3.9,1,Jan,1931,Winter,4
01/02/1931,-2.7,2,Feb,1931,Winter,4
01/03/1931,4.7,3,Mar,1931,Spring,1
01/04/1931,8.8,4,Apr,1931,Spring,1
01/05/1931,16.3,5,May,1931,Spring,1
01/06/1931,21.4,6,Jun,1931,Summer,2
01/07/1931,22.4,7,Jul,1931,Summer,2
01/08/1931,25,8,Aug,1931,Summer,2
01/09/1931,20,9,Sep,1931,Autumn,3
01/10/1931,11.9,10,Oct,1931,Autumn,3
01/11/1931,7.7,11,Nov,1931,Autumn,3
01/12/1931,-1,12,Dec,1931,Winter,4
01/01/1932,-0.6,1,Jan,1932,Winter,4
01/02/1932,-1.4,2,Feb,1932,Winter,4
01/03/1932,2.8,3,Mar,1932,Spring,1
01/04/1932,9.9,4,Apr,1932,Spring,1
01/05/1932,17,5,May,1932,Spring,1
01/06/1932,21.7,6,Jun,1932,Summer,2
01/07/1932,25.9,7,Jul,1932,Summer,2
01/08/1932,25.6,8,Aug,1932,Summer,2
01/09/1932,20.2,9,Sep,1932,Autumn,3
01/10/1932,12.2,10,Oct,1932,Autumn,3
01/11/1932,5.8,11,Nov,1932,Autumn,3
01/12/1932,0.6,12,Dec,1932,Winter,4
01/01/1933,-6.4,1,Jan,1933,Winter,4
01/02/1933,-3.7,2,Feb,1933,Winter,4
01/03/1933,0.6,3,Mar,1933,Spring,1
01/04/1933,10.2,4,Apr,1933,Spring,1
01/05/1933,16.3,5,May,1933,Spring,1
01/06/1933,20.7,6,Jun,1933,Summer,2
01/07/1933,25.5,7,Jul,1933,Summer,2
01/08/1933,24.1,8,Aug,1933,Summer,2
01/09/1933,20.1,9,Sep,1933,Autumn,3
01/10/1933,13,10,Oct,1933,Autumn,3
01/11/1933,5.5,11,Nov,1933,Autumn,3
01/12/1933,0.4,12,Dec,1933,Winter,4
01/01/1934,-8.3,1,Jan,1934,Winter,4
01/02/1934,-2.3,2,Feb,1934,Winter,4
01/03/1934,2,3,Mar,1934,Spring,1
01/04/1934,9.1,4,Apr,1934,Spring,1
01/05/1934,16.9,5,May,1934,Spring,1
01/06/1934,20.2,6,Jun,1934,Summer,2
01/07/1934,23.8,7,Jul,1934,Summer,2
01/08/1934,24.1,8,Aug,1934,Summer,2
01/09/1934,19.3,9,Sep,1934,Autumn,3
01/10/1934,11.7,10,Oct,1934,Autumn,3
01/11/1934,4.3,11,Nov,1934,Autumn,3
01/12/1934,0.8,12,Dec,1934,Winter,4
01/01/1935,-3.2,1,Jan,1935,Winter,4
01/02/1935,-0.2,2,Feb,1935,Winter,4
01/03/1935,5.1,3,Mar,1935,Spring,1
01/04/1935,10.3,4,Apr,1935,Spring,1
01/05/1935,16,5,May,1935,Spring,1
01/06/1935,20.1,6,Jun,1935,Summer,2
01/07/1935,23.8,7,Jul,1935,Summer,2
01/08/1935,25,8,Aug,1935,Summer,2
01/09/1935,20.3,9,Sep,1935,Autumn,3
01/10/1935,14.6,10,Oct,1935,Autumn,3
01/11/1935,6.6,11,Nov,1935,Autumn,3
01/12/1935,-3.9,12,Dec,1935,Winter,4
01/01/1936,-8.8,1,Jan,1936,Winter,4
01/02/1936,-4.4,2,Feb,1936,Winter,4
01/03/1936,-0.2,3,Mar,1936,Spring,1
01/04/1936,9.1,4,Apr,1936,Spring,1
01/05/1936,15.8,5,May,1936,Spring,1
01/06/1936,20.7,6,Jun,1936,Summer,2
01/07/1936,23.6,7,Jul,1936,Summer,2
01/08/1936,22.7,8,Aug,1936,Summer,2
01/09/1936,20.1,9,Sep,1936,Autumn,3
01/10/1936,13.2,10,Oct,1936,Autumn,3
01/11/1936,5.7,11,Nov,1936,Autumn,3
01/12/1936,-0.5,12,Dec,1936,Winter,4
01/01/1937,-3.6,1,Jan,1937,Winter,4
01/02/1937,0.1,2,Feb,1937,Winter,4
01/03/1937,3.6,3,Mar,1937,Spring,1
01/04/1937,10.6,4,Apr,1937,Spring,1
01/05/1937,15.8,5,May,1937,Spring,1
01/06/1937,21.6,6,Jun,1937,Summer,2
01/07/1937,24.6,7,Jul,1937,Summer,2
01/08/1937,26.7,8,Aug,1937,Summer,2
01/09/1937,20.3,9,Sep,1937,Autumn,3
01/10/1937,13.8,10,Oct,1937,Autumn,3
01/11/1937,7.2,11,Nov,1937,Autumn,3
01/12/1937,-3.9,12,Dec,1937,Winter,4
01/01/1938,-6.3,1,Jan,1938,Winter,4
01/02/1938,-3.3,2,Feb,1938,Winter,4
01/03/1938,4.7,3,Mar,1938,Spring,1
01/04/1938,11.4,4,Apr,1938,Spring,1
01/05/1938,16.5,5,May,1938,Spring,1
01/06/1938,20,6,Jun,1938,Summer,2
01/07/1938,25.2,7,Jul,1938,Summer,2
01/08/1938,26.3,8,Aug,1938,Summer,2
01/09/1938,19.3,9,Sep,1938,Autumn,3
01/10/1938,15,10,Oct,1938,Autumn,3
01/11/1938,4.8,11,Nov,1938,Autumn,3
01/12/1938,-2.3,12,Dec,1938,Winter,4
01/01/1939,-5.2,1,Jan,1939,Winter,4
01/02/1939,-2,2,Feb,1939,Winter,4
01/03/1939,4.1,3,Mar,1939,Spring,1
01/04/1939,11.6,4,Apr,1939,Spring,1
01/05/1939,15.7,5,May,1939,Spring,1
01/06/1939,20.8,6,Jun,1939,Summer,2
01/07/1939,27.6,7,Jul,1939,Summer,2
01/08/1939,27.5,8,Aug,1939,Summer,2
01/09/1939,21,9,Sep,1939,Autumn,3
01/10/1939,14.3,10,Oct,1939,Autumn,3
01/11/1939,5.9,11,Nov,1939,Autumn,3
01/12/1939,-0.9,12,Dec,1939,Winter,4
01/01/1940,-7.4,1,Jan,1940,Winter,4
01/02/1940,-2.3,2,Feb,1940,Winter,4
01/03/1940,3.7,3,Mar,1940,Spring,1
01/04/1940,9.7,4,Apr,1940,Spring,1
01/05/1940,16.3,5,May,1940,Spring,1
01/06/1940,20.1,6,Jun,1940,Summer,2
01/07/1940,23.4,7,Jul,1940,Summer,2
01/08/1940,24.3,8,Aug,1940,Summer,2
01/09/1940,19.9,9,Sep,1940,Autumn,3
01/10/1940,14.7,10,Oct,1940,Autumn,3
01/11/1940,6.8,11,Nov,1940,Autumn,3
01/12/1940,-0.2,12,Dec,1940,Winter,4
01/01/1941,-3.8,1,Jan,1941,Winter,4
01/02/1941,-2.4,2,Feb,1941,Winter,4
01/03/1941,3.8,3,Mar,1941,Spring,1
01/04/1941,10,4,Apr,1941,Spring,1
01/05/1941,16.7,5,May,1941,Spring,1
01/06/1941,21.2,6,Jun,1941,Summer,2
01/07/1941,23.7,7,Jul,1941,Summer,2
01/08/1941,23.8,8,Aug,1941,Summer,2
01/09/1941,19.7,9,Sep,1941,Autumn,3
01/10/1941,12.9,10,Oct,1941,Autumn,3
01/11/1941,7.7,11,Nov,1941,Autumn,3
01/12/1941,0.4,12,Dec,1941,Winter,4
01/01/1942,-6.4,1,Jan,1942,Winter,4
01/02/1942,-3.5,2,Feb,1942,Winter,4
01/03/1942,5.9,3,Mar,1942,Spring,1
01/04/1942,9.9,4,Apr,1942,Spring,1
01/05/1942,15.3,5,May,1942,Spring,1
01/06/1942,22,6,Jun,1942,Summer,2
01/07/1942,26,7,Jul,1942,Summer,2
01/08/1942,25.4,8,Aug,1942,Summer,2
01/09/1942,20,9,Sep,1942,Autumn,3
01/10/1942,12.5,10,Oct,1942,Autumn,3
01/11/1942,4.7,11,Nov,1942,Autumn,3
01/12/1942,-1.2,12,Dec,1942,Winter,4
01/01/1943,-6.6,1,Jan,1943,Winter,4
01/02/1943,-2.4,2,Feb,1943,Winter,4
01/03/1943,5.4,3,Mar,1943,Spring,1
01/04/1943,10.6,4,Apr,1943,Spring,1
01/05/1943,16.7,5,May,1943,Spring,1
01/06/1943,21.5,6,Jun,1943,Summer,2
01/07/1943,26,7,Jul,1943,Summer,2
01/08/1943,27.8,8,Aug,1943,Summer,2
01/09/1943,20.9,9,Sep,1943,Autumn,3
01/10/1943,13.8,10,Oct,1943,Autumn,3
01/11/1943,6.1,11,Nov,1943,Autumn,3
01/12/1943,0,12,Dec,1943,Winter,4
01/01/1944,-4.3,1,Jan,1944,Winter,4
01/02/1944,-2.4,2,Feb,1944,Winter,4
01/03/1944,3.2,3,Mar,1944,Spring,1
01/04/1944,9.6,4,Apr,1944,Spring,1
01/05/1944,15.9,5,May,1944,Spring,1
01/06/1944,21.4,6,Jun,1944,Summer,2
01/07/1944,25.3,7,Jul,1944,Summer,2
01/08/1944,25.5,8,Aug,1944,Summer,2
01/09/1944,20.7,9,Sep,1944,Autumn,3
01/10/1944,13.5,10,Oct,1944,Autumn,3
01/11/1944,7.8,11,Nov,1944,Autumn,3
01/12/1944,-5.7,12,Dec,1944,Winter,4
01/01/1945,-7.8,1,Jan,1945,Winter,4
01/02/1945,-4.9,2,Feb,1945,Winter,4
01/03/1945,2.3,3,Mar,1945,Spring,1
01/04/1945,11,4,Apr,1945,Spring,1
01/05/1945,13.6,5,May,1945,Spring,1
01/06/1945,20.1,6,Jun,1945,Summer,2
01/07/1945,23.2,7,Jul,1945,Summer,2
01/08/1945,25.5,8,Aug,1945,Summer,2
01/09/1945,21.3,9,Sep,1945,Autumn,3
01/10/1945,13.5,10,Oct,1945,Autumn,3
01/11/1945,8.4,11,Nov,1945,Autumn,3
01/12/1945,-1.7,12,Dec,1945,Winter,4
01/01/1946,-3.2,1,Jan,1946,Winter,4
01/02/1946,-0.7,2,Feb,1946,Winter,4
01/03/1946,2.5,3,Mar,1946,Spring,1
01/04/1946,10.9,4,Apr,1946,Spring,1
01/05/1946,16,5,May,1946,Spring,1
01/06/1946,20.9,6,Jun,1946,Summer,2
01/07/1946,25.6,7,Jul,1946,Summer,2
01/08/1946,25.7,8,Aug,1946,Summer,2
01/09/1946,19.9,9,Sep,1946,Autumn,3
01/10/1946,13.8,10,Oct,1946,Autumn,3
01/11/1946,8.8,11,Nov,1946,Autumn,3
01/12/1946,-4.3,12,Dec,1946,Winter,4
01/01/1947,-3.9,1,Jan,1947,Winter,4
01/02/1947,-5.3,2,Feb,1947,Winter,4
